"Mo-Mac" "LAM" "PVM" "IM"
"5024" 28.0701754385965 8.07017543859649 46.6666666666667 17.1929824561404
"5026" 10.2564102564103 46.1538461538462 17.9487179487179 25.6410256410256
"5027" 7.61904761904762 21.9047619047619 18.3333333333333 52.1428571428571
"5028" 18.4782608695652 21.7391304347826 32.6086956521739 27.1739130434783
"5029" 21.9512195121951 17.0731707317073 51.219512195122 9.75609756097561
"5030" 20.1342281879195 14.0939597315436 35.5704697986577 30.2013422818792
"5031" 51.7509727626459 15.5642023346303 16.7315175097276 15.9533073929961
"5032" 23.7668161434978 15.2466367713004 25.1121076233184 35.8744394618834
"5033" 16.8937329700272 27.9291553133515 16.0762942779292 39.1008174386921
"5034" 51.0416666666667 13.5416666666667 16.6666666666667 18.75
"5036" 14.1860465116279 34.4186046511628 16.046511627907 35.3488372093023
"5037" 16.6666666666667 33.0357142857143 23.8095238095238 26.4880952380952
"5038" 3.36633663366337 52.4752475247525 8.31683168316832 35.8415841584158
"1101" NA NA NA NA
"1102" NA NA NA NA
"1104" NA NA NA NA
"1105" NA NA NA NA
"1106" NA NA NA NA
"1110" NA NA NA NA
"1111" NA NA NA NA
"1114" NA NA NA NA
"1115" NA NA NA NA
"1116" NA NA NA NA
"1118" NA NA NA NA
"1119" NA NA NA NA
"1120" NA NA NA NA
"1122" NA NA NA NA
"1123" NA NA NA NA
"1125" NA NA NA NA
"1127" NA NA NA NA
"1128" NA NA NA NA
"1129" NA NA NA NA
"1130" NA NA NA NA
"1131" NA NA NA NA
"1133" NA NA NA NA
"1142" NA NA NA NA
"1143" NA NA NA NA
"1146" NA NA NA NA
"1150" NA NA NA NA
"1152" NA NA NA NA
"1153" NA NA NA NA
"1154" NA NA NA NA
"1156" NA NA NA NA
"1160" NA NA NA NA
"1162" NA NA NA NA
"1163" NA NA NA NA
"1164" NA NA NA NA
"1166" NA NA NA NA
"1168" NA NA NA NA
"1169" NA NA NA NA
"1170" NA NA NA NA
"1171" NA NA NA NA
"1173" NA NA NA NA
"1174" NA NA NA NA
"1178" NA NA NA NA
"1179" NA NA NA NA
"2101" NA NA NA NA
"2102" NA NA NA NA
"2103" NA NA NA NA
"2104" NA NA NA NA
"2105" NA NA NA NA
"2106" NA NA NA NA
"2109" NA NA NA NA
"2115" NA NA NA NA
"2117" NA NA NA NA
"2118" NA NA NA NA
"2120" NA NA NA NA
"2121" NA NA NA NA
"2122" NA NA NA NA
"2123" NA NA NA NA
"2124" NA NA NA NA
"3001" NA NA NA NA
"3002" NA NA NA NA
"3003" NA NA NA NA
"3004" NA NA NA NA
"3005" NA NA NA NA
"3006" NA NA NA NA
"3008" NA NA NA NA
"3009" NA NA NA NA
"3010" NA NA NA NA
"3016" NA NA NA NA
"3017" NA NA NA NA
"3025" NA NA NA NA
"3027" NA NA NA NA
"3030" NA NA NA NA
"3033" NA NA NA NA
"3034" NA NA NA NA
"3039" NA NA NA NA
"5006" NA NA NA NA
"5007" NA NA NA NA
"5014" NA NA NA NA
"5023" NA NA NA NA
"5035" NA NA NA NA
"6001" NA NA NA NA
